module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M1,,,radians does it turn through?,2p radians,p radians,2R2 radians,,B,EASY,4.   If a wheel of radius R revolves,,,DRAFT,Found in Suntech corpus,1,1.doc,"{""raw"": ""4.   If a wheel of radius R revolves \n a turn, how many\nradians does it turn through?\na) 2p radians\nb) p radians \nc) 2R2 radians"", ""question"": ""radians does it turn through?"", ""options"": [""2p radians"", ""p radians"", ""2R2 radians""], ""correct"": null, ""answer_text"": null, ""category"": ""4.   If a wheel of radius R revolves"", ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,,,"If there are two similar angles in a right triangle,",complementary,supplementary,subordinate,,A,MEDIUM,,,,DRAFT,Matched from 1.doc Exam 2 Q5 via answer key (score=0.64),1,1.doc,"{""raw"": ""5.   If there are two similar angles in a right triangle, \nthese angles are \na) complementary\nb) supplementary\nc) subordinate"", ""question"": ""If there are two similar angles in a right triangle,"", ""options"": [""complementary"", ""supplementary"", ""subordinate""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""MEDIUM""}"
M1,M1.8.9,,The surface area of a cone whose flat is 10 cm and,80 p,40 p,120 p,,B,MEDIUM,,,,DRAFT,Matched from 1.doc Exam 2 Q6 via answer key (score=0.74),1,1.doc,"{""raw"": ""6.   The surface area of a cone whose flat is 10 cm and \ndiameter is 8 cm is:\n          a) 80 p \nb) 40 p \n          c) 120 p"", ""question"": ""The surface area of a cone whose flat is 10 cm and"", ""options"": [""80 p"", ""40 p"", ""120 p""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M1,,,(A + B)4      is,(A + B)2,A + B,(A + B)6,,A,EASY,,,,DRAFT,Found in Suntech corpus,1,1.doc,"{""raw"": ""7.   (A + B)4      is \n      (A + B)2 \n          a) (A + B)2 \nb) A + B \nc) (A + B)6"", ""question"": ""(A + B)4      is"", ""options"": [""(A + B)2"", ""A + B"", ""(A + B)6""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,,,An equilateral triangle has,2 equal sides,no equal sides,3 equal sides,,C,EASY,,,,DRAFT,Matched from 1.doc Exam 2 Q8 via answer key (score=0.56),1,1.doc,"{""raw"": ""8.   An equilateral triangle has \n          a) 2 equal sides \nb) no equal sides \nc) 3 equal sides"", ""question"": ""An equilateral triangle has"", ""options"": [""2 equal sides"", ""no equal sides"", ""3 equal sides""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,,,11/16  +  5/8  =,55/128,21/16,10/11,,C,EASY,,,,DRAFT,Found in Suntech corpus,1,1.doc,"{""raw"": ""10.   11/16  +  5/8  = \n          a) 55/128 \nb) 21/16\nc) 10/11\nModule 1\nMathematics\nExam 3"", ""question"": ""11/16  +  5/8  ="", ""options"": [""55/128"", ""21/16"", ""10/11""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,,,7/6 can be expressed as,2.6,1.6,1.166,,C,EASY,,,,DRAFT,Matched from 1.doc Exam 3 Q3 via answer key (score=0.77),1,1.doc,"{""raw"": ""3.   7/6 can be expressed as \na) 2.6 \nb) 1.6 \nc) 1.166"", ""question"": ""7/6 can be expressed as"", ""options"": [""2.6"", ""1.6"", ""1.166""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,M1.8.9,,The ratio of 6:5 can be expressed as,20 : 25,24 : 20,10 : 16,,B,EASY,,,,DRAFT,Computed from question data,1,1.doc,"{""raw"": ""4.   The ratio of 6:5 can be expressed as\na) 20 : 25 \nb) 24 : 20 \nc) 10 : 16"", ""question"": ""The ratio of 6:5 can be expressed as"", ""options"": [""20 : 25"", ""24 : 20"", ""10 : 16""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""EASY""}"
M1,,,143 can be expressed as,14 x 3,14 x 14 x 14,14 + 14 + 14,,C,EASY,,,,DRAFT,Matched from 1.doc Exam 3 Q3 via answer key (score=0.67),1,1.doc,"{""raw"": ""5.   143 can be expressed as\na) 14 x 3\nb) 14 x 14 x 14 \nc) 14 + 14 + 14"", ""question"": ""143 can be expressed as"", ""options"": [""14 x 3"", ""14 x 14 x 14"", ""14 + 14 + 14""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,,,0.0000413 can be written as,413 x 10-7,0.413 x 10-7,4.13 x 10-7,,A,EASY,,,,DRAFT,Matched from 1.doc Exam 3 Q6 via answer key (score=0.60),1,1.doc,"{""raw"": ""6.   0.0000413 can be written as\na) 413 x 10-7 \nb) 0.413 x 10-7 \nc) 4.13 x 10-7"", ""question"": ""0.0000413 can be written as"", ""options"": [""413 x 10-7"", ""0.413 x 10-7"", ""4.13 x 10-7""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,,,5/8 + 3/4 =,11/4,11/8,8/8,,B,EASY,,,,DRAFT,Matched from 1.doc Exam 3 Q7 via answer key (score=0.50),1,1.doc,"{""raw"": ""7.   5/8 + 3/4 =\na) 11/4 \nb) 11/8 \nc) 8/8"", ""question"": ""5/8 + 3/4 ="", ""options"": [""11/4"", ""11/8"", ""8/8""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,M1.8.9,,The LCD for the problem 1/6 + 1/5 + 1/17 + 1/2  is,1020,17,510,,C,MEDIUM,,,,DRAFT,Matched from 1.doc Exam 3 Q8 via answer key (score=0.88),1,1.doc,"{""raw"": ""8.   The LCD for the problem 1/6 + 1/5 + 1/17 + 1/2  is \na) 1020\nb) 17 \nc) 510"", ""question"": ""The LCD for the problem 1/6 + 1/5 + 1/17 + 1/2  is"", ""options"": [""1020"", ""17"", ""510""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M1,,,Area of a right circular cone is,p x r x l,(p x r x l) + 2  p x r x r,2/3 (p x r x l),,A,EASY,,,,DRAFT,Matched from 1.doc Exam 4 Q1 via answer key (score=0.58),1,1.doc,"{""raw"": ""1.   Area of a right circular cone is \n          a) p x r x l \nb) (p x r x l) + 2  p x r x r \nc) 2/3 (p x r x l)"", ""question"": ""Area of a right circular cone is"", ""options"": [""p x r x l"", ""(p x r x l) + 2  p x r x r"", ""2/3 (p x r x l)""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,,,log 9 - log 3 =,log 3,log 6,log 9,,A,EASY,,,,DRAFT,Matched from 1.doc Exam 4 Q2 via answer key (score=0.55),1,1.doc,"{""raw"": ""2.   log 9 - log 3 = \n          a) log 3  \nb) log 6  \nc) log 9"", ""question"": ""log 9 - log 3 ="", ""options"": [""log 3"", ""log 6"", ""log 9""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,M1.8.9,,The three angles of a triangle summed together equal,90,180,360,,B,MEDIUM,,,,DRAFT,Matched from 1.doc Exam 4 Q3 via answer key (score=0.90),1,1.doc,"{""raw"": ""3.   The three angles of a triangle summed together equal \n          a) 90\nb) 180\nc) 360"", ""question"": ""The three angles of a triangle summed together equal"", ""options"": [""90"", ""180"", ""360""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M1,,,"Given that a = X + B, what is y equal to",a + X,X - B,X + B,,C,EASY,,,,DRAFT,Matched from 1.doc Exam 4 Q5 via answer key (score=0.78),1,1.doc,"{""raw"": ""5.   Given that a = X + B, what is y equal to\n                        y\n          a) a + X\n               B\nb) X - B\n               a \nc) X + B\n               a"", ""question"": ""Given that a = X + B, what is y equal to"", ""options"": [""a + X"", ""X - B"", ""X + B""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,,,Calculate (+ 3) - (- 4),-1,+7,-7,,B,EASY,,,,DRAFT,Matched from 1.doc Exam 4 Q6 via answer key (score=0.81),1,1.doc,"{""raw"": ""6.   Calculate (+ 3) - (- 4)\n          a) -1 \nb) +7 \nc) -7"", ""question"": ""Calculate (+ 3) - (- 4)"", ""options"": [""-1"", ""+7"", ""-7""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,M1.8.9,,"To convert imperial gallons to litres, multiply by",4.5,5.4,4.7,,A,MEDIUM,,,,DRAFT,Matched from 1.doc Exam 4 Q7 via answer key (score=0.89),1,1.doc,"{""raw"": ""7.   To convert imperial gallons to litres, multiply by\n          a) 4.5 \nb) 5.4 \nc) 4.7"", ""question"": ""To convert imperial gallons to litres, multiply by"", ""options"": [""4.5"", ""5.4"", ""4.7""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M1,M1.8.9,,Express 9/20 as a percentage,45 %,40 %,47 %,,A,EASY,,,,DRAFT,Matched from 1.doc Exam 4 Q8 via answer key (score=0.86),1,1.doc,"{""raw"": ""8.   Express 9/20 as a percentage \n          a) 45 %\nb) 40 % \nc) 47 %"", ""question"": ""Express 9/20 as a percentage"", ""options"": [""45 %"", ""40 %"", ""47 %""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""EASY""}"
M1,M1.8.9,,"To find the area of a circle, multiply",the square of the radius by p,the square of the circumference  by the radius,twice the radius by p,,A,EASY,,,,DRAFT,Found in Suntech corpus,1,1.doc,"{""raw"": ""9.   To find the area of a circle, multiply \n          a) the square of the radius by p \nb) the square of the circumference  by the radius \nc) twice the radius by p"", ""question"": ""To find the area of a circle, multiply"", ""options"": [""the square of the radius by p"", ""the square of the circumference  by the radius"", ""twice the radius by p""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""EASY""}"
M1,,,10.   How many centimetres is in an inch?,25.4,0.254,2.54,,A,EASY,,,,DRAFT,Found in Suntech corpus,1,1.doc,"{""raw"": ""10.   How many centimetres is in an inch? \n          a) 25.4\nb) 0.254 \nc) 2.54"", ""question"": ""10.   How many centimetres is in an inch?"", ""options"": [""25.4"", ""0.254"", ""2.54""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.doc"", ""source_module"": ""M1"", ""fmt"": ""docx"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
M1,M1.9.5,,The decimal expansion of 22/7 is,"For some integer n, the odd integer is represented in the form of:",HCF of 26 and 91 is:,,,A,MEDIUM,,,,DRAFT,Found in Suntech corpus,1,AEROJET M1 MATH MARATHON 1_230801_064301.pdf,"{""raw"": ""1. The decimal expansion of 22/7 is\n(a) Terminating\n(b) Non-terminating and repeating\n(c) Non-terminating and Non-repeating\n2. For some integer n, the odd integer is represented in the form of:\n(a) n\n(b) n + 1\n(c) 2n + 1\n3. HCF of 26 and 91 is:\n(a) 15\n(b) 13\n(c) 19"", ""question"": ""The decimal expansion of 22/7 is"", ""options"": [""For some integer n, the odd integer is represented in the form of:"", ""HCF of 26 and 91 is:""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""AEROJET M1 MATH MARATHON 1_230801_064301.pdf"", ""source_module"": ""M1"", ""fmt"": ""pdf"", ""module"": ""M1"", ""syllabusRef"": ""M1.9.5"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M1,M1.8.9,,Which of the following is not irrational?,The addition of a rational number and an irrational number is equal to:,The multiplication of two irrational numbers is:,"If set A = {1, 2, 3, 4, 5,…} is given, then it represents:","If p and q are integers and is represented in the form of p/q, then it is a:",D,HARD,,,,DRAFT,Found in Suntech corpus,1,AEROJET M1 MATH MARATHON 1_230801_064301.pdf,"{""raw"": ""4. Which of the following is not irrational?\n(a) (3 + √7)\n(b) (3 – √7)\n(c) (3 + √7) (3 – √7)\n5. The addition of a rational number and an irrational number is equal to:\n(a) rational number\n(b) Irrational number\n(c) Both\nThe addition of a rational number and an irrational number is equal to irrational number.\n6. The multiplication of two irrational numbers is:\n(a) irrational number\n(b) rational number\n(c) Maybe rational or irrational\n7. If set A = {1, 2, 3, 4, 5,…} is given, then it represents:\n(a) Whole numbers\n(b) Rational Numbers\n(c) Natural numbers\n8. If p and q are integers and is represented in the form of p/q, then it is a:\n(a) Whole number\n(b) Rational number\n(c) Natural number\n9. The largest number that divides 70 and 125, which leaves the remainders 5 and 8, is:\n(a) 65\n(b) 15\n(c) 13\n10. The least number that is divisible by all the numbers from 1 to 5 is:\n(a) 70\n(b) 60\n(c) 80\n11. The sum or difference of two irrational numbers is always\n(a) rational\n(b) irrational\n(c) rational or irrational\n12. The decimal expansion of the rational number 23/(22 . 5) will terminate after\n(a) one decimal place\n(b) two decimal places\n(c) three decimal places\n14. For some integer m, every even integer is of the form\n(a) m\n(b) m + 1\n(c) 2m\n17. The prime factorisation of 96 is\n(a) 25 × 3\n(b) 26\n(c) 24 × 3\n18.The zeroes of x2–2x –8 are:\n(a) (2,-4)\n(b) (4,-2)\n(c) (-2,-2)\n19. What is the quadratic polynomial whose sum and the product of zeroes is √2,\n⅓ respectively?\n(a) 3x2-3√2x+1\n(b) 3x2+3√2x+1\n(c) 3x2+3√2x-1\n20. If the zeroes of the quadratic polynomial ax2+bx+c, c≠0 are equal, then\n(a) c and b have opposite signs\n(b) c and a have opposite signs\n(c) c and a have same signs\n21. The degree of the polynomial, x4 – x2 +2 is\n(a) 2\n(b) 4\n(c) 1\n22. If p(x) is a polynomial of degree one and p(a) = 0, then a is said to be:\n(a) Zero of p(x)\n(b) Value of p(x)\n(c) Constant of p(x)\n23. Zeroes of a polynomial can be expressed graphically. Number of zeroes of\npolynomial is equal to number of points where the graph of polynomial is:\n(a) Intersects x-axis\n(b) Intersects y-axis\n(c) Intersects y-axis or x-axis\n24. A polynomial of degree n has:\n(a) Only one zero\n(b) At least n zeroes\n(C) At most n zeroes\n25. Zeroes of p(x) = x2-27 are:\n(a) ±9√3\n(b) ±3√3\n(c) ±7√3\n26. If one zero of the quadratic polynomial x2 + 3x + k is 2, then the value of k is\n(a) 10\n(b) –10\n(c) 5\n27. A quadratic polynomial, whose zeroes are –3 and 4, is\n(a) x² – x + 12\n(b) x² + x + 12\n(c) (x²/2) – (x/2) – 6\n28. The zeroes of the quadratic polynomial x2 + 99x + 127 are\n(a) both positive\n(b) both negative\n(c) one positive and one negative\n29. The zeroes of the quadratic polynomial x2 + 7x + 10 are\n(a) -4, -3\n(b) 2, 5\n(c) -2, -5\n30. The pairs of equations x+2y-5 = 0 and -4x-8y+20=0 have:\n(a) Unique solution\n(b) Exactly two solutions\n(c) Infinitely many solutions\n31. If a pair of linear equations is consistent, then the lines are:\n(a) Parallel\n(b) Always coincident\n(c) Intersecting or coincident\n32. The pairs of equations 9x + 3y + 12 = 0 and 18x + 6y + 26 = 0 have\n(a) Unique solution\n(b) No solution\n(c) Exactly two solutions\n33. If the lines 3x+2ky – 2 = 0 and 2x+5y+1 = 0 are parallel, then what is the value\nof k?\n(a) 4/15\n(b) 15/4\n(c) ⅘\n34.The solution of the equations x-y=2 and x+y=4 is:\n(a) 3 and 1\n(b) 4 and 3\n(c) 5 and 1\n35. A fraction becomes 1/3 when 1 is subtracted from the numerator and it\nbecomes 1/4 when 8 is added to its denominator. The fraction obtained is:\n(a) 3/12\n(b) 4/12\n(c) 5/12\n36. The solution of 4/x+3y=14 and 3/x-4y=23 is:\n(a) ⅕ and -2\n(b) ⅓ and ½\n(c) 3 and ½\n37. Ritu can row downstream 20 km in 2 hours, and upstream 4 km in 2 hours. Her\nspeed of rowing in still water and the speed of the current is:\n(a) 6km/hr and 3km/hr\n(b) 7km/hr and 4km/hr\n(c) 6km/hr and 4km/hr\n38. The angles of cyclic quadrilaterals ABCD are: A = (6x+10), B=(5x)°, C = (x+y)°\nand D=(3y-10)°. The value of x and y is:\n(a) x=20° and y = 10°\n(b) x=20° and y = 30°\n(c) x=44° and y=15°\n39. The pair of equations x = a and y = b graphically represents lines which are\n(a) parallel\n(b) intersecting at (b, a)\n(c) intersecting at (a, b)\n40. The father’s age is six times his son’s age. Four years hence, the age of the\nfather will be four times his son’s age. The present ages, in years, of the son and\nthe father are, respectively\n(a) 4 and 24\n(b) 5 and 30\n(c) 6 and 36"", ""question"": ""Which of the following is not irrational?"", ""options"": [""The addition of a rational number and an irrational number is equal to:"", ""The multiplication of two irrational numbers is:"", ""If set A = {1, 2, 3, 4, 5,…} is given, then it represents:"", ""If p and q are integers and is represented in the form of p/q, then it is a:"", ""The largest number that divides 70 and 125, which leaves the remainders 5 and 8, is:""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""AEROJET M1 MATH MARATHON 1_230801_064301.pdf"", ""source_module"": ""M1"", ""fmt"": ""pdf"", ""module"": ""M1"", ""syllabusRef"": ""M1.8.9"", ""level"": null, ""difficulty"": ""HARD""}"
M1,,,3/7 multiplied by 0.084 gives,0.036,0.36,3.6,,C,EASY,,,,DRAFT,Found in Suntech corpus,1,AEROJET M1  MOCK  AUG TT3 EXTRA 1_230817_091323.pdf,"{""raw"": ""2. 3/7 multiplied by 0.084 gives\nA. 0.036\nB. 0.36\nC. 3.6"", ""question"": ""3/7 multiplied by 0.084 gives"", ""options"": [""0.036"", ""0.36"", ""3.6""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""AEROJET M1  MOCK  AUG TT3 EXTRA 1_230817_091323.pdf"", ""source_module"": ""M1"", ""fmt"": ""pdf"", ""module"": ""M1"", ""difficulty"": ""EASY""}"
