module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson,isEssay
M13,M13.13.7(a),,attitude change?,They must remain fixed in a neutral position,They must be shortly deflected from their centered position,They must be fully deployed,,They must remain fixed in a neutral position,EASY,14. What must happen to primary flight controls to initiate or terminate an,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""attitude change?"", ""question"": ""attitude change?"", ""options"": [""They must remain fixed in a neutral position"", ""They must be shortly deflected from their centered position"", ""They must be fully deployed""], ""correct"": ""They must remain fixed in a neutral position"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(a)"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""14. What must happen to primary flight controls to initiate or terminate an"", ""isEssay"": false}",False
M13,M13.0.3,,"During a climb, what is the typical position of the elevators after the climb",Fully up,Fully down,Centered,,Fully down,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""During a climb, what is the typical position of the elevators after the climb"", ""question"": ""During a climb, what is the typical position of the elevators after the climb"", ""options"": [""Fully up"", ""Fully down"", ""Centered""], ""correct"": ""Fully down"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.0.3"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.06,,Which control surfaces are primarily used to initiate a turn or heading,Elevators and rudder only,"Ailerons, with assistance from spoilers and rudder",Rudder and flaps,,Elevators and rudder only,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""Which control surfaces are primarily used to initiate a turn or heading"", ""question"": ""Which control surfaces are primarily used to initiate a turn or heading"", ""options"": [""Elevators and rudder only"", ""Ailerons, with assistance from spoilers and rudder"", ""Rudder and flaps""], ""correct"": ""Elevators and rudder only"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.06"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(a),,"In a typical level flight condition, what is the status of the primary flight",Continuously moving to adjust attitude,Centered unless a maneuver is initiated,Locked into position by the autopilot,,Centered unless a maneuver is initiated,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""In a typical level flight condition, what is the status of the primary flight"", ""question"": ""In a typical level flight condition, what is the status of the primary flight"", ""options"": [""Continuously moving to adjust attitude"", ""Centered unless a maneuver is initiated"", ""Locked into position by the autopilot""], ""correct"": ""Centered unless a maneuver is initiated"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(a)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,18. What is the purpose of feedback in a close-loop control system?,To store past control movements for reference,To provide real-time information for system correction,To manually override automatic controls,,To provide real-time information for system correction,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""18. What is the purpose of feedback in a close-loop control system?"", ""question"": ""18. What is the purpose of feedback in a close-loop control system?"", ""options"": [""To store past control movements for reference"", ""To provide real-time information for system correction"", ""To manually override automatic controls""], ""correct"": ""To provide real-time information for system correction"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,Why are close-loop control systems essential in modern automated,They require less electrical power,They enable full automation by providing feedback,They eliminate the need for actuators,,They require less electrical power,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""Why are close-loop control systems essential in modern automated"", ""question"": ""Why are close-loop control systems essential in modern automated"", ""options"": [""They require less electrical power"", ""They enable full automation by providing feedback"", ""They eliminate the need for actuators""], ""correct"": ""They require less electrical power"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,"20. In a feedback control system, what is the 'input' also known as?",Process output,Reference value or set point,Sensor signal,,Process output,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option,1,MODULE 13_Questions.pdf,"{""raw"": ""20. In a feedback control system, what is the 'input' also known as?"", ""question"": ""20. In a feedback control system, what is the 'input' also known as?"", ""options"": [""Process output"", ""Reference value or set point"", ""Sensor signal""], ""correct"": ""Process output"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,"21. In the heating system example, what does the 'input' represent?",The current room temperature,The desired temperature setting,The speed of the fan motor,,The current room temperature,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""21. In the heating system example, what does the 'input' represent?"", ""question"": ""21. In the heating system example, what does the 'input' represent?"", ""options"": [""The current room temperature"", ""The desired temperature setting"", ""The speed of the fan motor""], ""correct"": ""The current room temperature"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,22. What is the ‘process’ in the heating system example?,The heater,The thermostat knob,The air vent,,The air vent,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""22. What is the ‘process’ in the heating system example?"", ""question"": ""22. What is the ‘process’ in the heating system example?"", ""options"": [""The heater"", ""The thermostat knob"", ""The air vent""], ""correct"": ""The air vent"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,23. What does the output of the feedback system represent?,The rate of control surface movement,"The measured variable being controlled (e.g., room temperature)",The power supply voltage,,"The measured variable being controlled (e.g., room temperature)",MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""23. What does the output of the feedback system represent?"", ""question"": ""23. What does the output of the feedback system represent?"", ""options"": [""The rate of control surface movement"", ""The measured variable being controlled (e.g., room temperature)"", ""The power supply voltage""], ""correct"": ""The measured variable being controlled (e.g., room temperature)"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.1.5,,24. What is the role of the sensing element in the feedback loop?,To activate hydraulic power,To measure and monitor the output variable,To set the input value,,To measure and monitor the output variable,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""24. What is the role of the sensing element in the feedback loop?"", ""question"": ""24. What is the role of the sensing element in the feedback loop?"", ""options"": [""To activate hydraulic power"", ""To measure and monitor the output variable"", ""To set the input value""], ""correct"": ""To measure and monitor the output variable"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.1.5"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,"25. In the heating system, what typically acts as the sensing element?",A cooling fan,A temperature sensor,A room light sensor,,A temperature sensor,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option,1,MODULE 13_Questions.pdf,"{""raw"": ""25. In the heating system, what typically acts as the sensing element?"", ""question"": ""25. In the heating system, what typically acts as the sensing element?"", ""options"": [""A cooling fan"", ""A temperature sensor"", ""A room light sensor""], ""correct"": ""A temperature sensor"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,What is the function of the controller and actuating device in a feedback,To compare input and output values and reduce the error,To increase system pressure,To disable the feedback loop,,To increase system pressure,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""What is the function of the controller and actuating device in a feedback"", ""question"": ""What is the function of the controller and actuating device in a feedback"", ""options"": [""To compare input and output values and reduce the error"", ""To increase system pressure"", ""To disable the feedback loop""], ""correct"": ""To increase system pressure"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,in the heating example?,The heater stays off,The controller activates the heater,The sensor resets the system,,The heater stays off,EASY,27. What happens when the output (room temperature) is below the set point,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""in the heating example?"", ""question"": ""in the heating example?"", ""options"": [""The heater stays off"", ""The controller activates the heater"", ""The sensor resets the system""], ""correct"": ""The heater stays off"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": ""27. What happens when the output (room temperature) is below the set point"", ""isEssay"": false}",False
M13,M13.13.7(c),,"28. What is ""hunting"" in a control system?",The system lagging behind a command input,The system overcorrecting alternately in both directions,The system shutting down automatically,,The system shutting down automatically,EASY,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""28. What is \""hunting\"" in a control system?"", ""question"": ""28. What is \""hunting\"" in a control system?"", ""options"": [""The system lagging behind a command input"", ""The system overcorrecting alternately in both directions"", ""The system shutting down automatically""], ""correct"": ""The system shutting down automatically"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.0.3,,29. What typically triggers hunting in a feedback system?,Constant output value,A sudden or transient input signal,Manual override by the pilot,,A sudden or transient input signal,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""29. What typically triggers hunting in a feedback system?"", ""question"": ""29. What typically triggers hunting in a feedback system?"", ""options"": [""Constant output value"", ""A sudden or transient input signal"", ""Manual override by the pilot""], ""correct"": ""A sudden or transient input signal"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.0.3"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,30. Why is hunting undesirable in an automatic control system?,It improves speed but reduces accuracy,It creates consistent operation,It leads to instability due to repeated overcorrection,,It creates consistent operation,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""30. Why is hunting undesirable in an automatic control system?"", ""question"": ""30. Why is hunting undesirable in an automatic control system?"", ""options"": [""It improves speed but reduces accuracy"", ""It creates consistent operation"", ""It leads to instability due to repeated overcorrection""], ""correct"": ""It creates consistent operation"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,31. What is the most common solution to reduce or eliminate hunting?,Increasing actuator speed,Adding damping to the system,Removing feedback sensors,,Increasing actuator speed,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""31. What is the most common solution to reduce or eliminate hunting?"", ""question"": ""31. What is the most common solution to reduce or eliminate hunting?"", ""options"": [""Increasing actuator speed"", ""Adding damping to the system"", ""Removing feedback sensors""], ""correct"": ""Increasing actuator speed"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.13.7(c),,32. What effect does damping have on a system's response?,It causes faster overcorrection,It slows down the response to avoid overshoots,It disables the feedback loop,,It slows down the response to avoid overshoots,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option-overlap,1,MODULE 13_Questions.pdf,"{""raw"": ""32. What effect does damping have on a system's response?"", ""question"": ""32. What effect does damping have on a system's response?"", ""options"": [""It causes faster overcorrection"", ""It slows down the response to avoid overshoots"", ""It disables the feedback loop""], ""correct"": ""It slows down the response to avoid overshoots"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.13.7(c)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M13,M13.1.1,,Which of the following can act as a damping method in a mechanical,Temperature sensor,Brake or oil through a small orifice (like in shock absorbers),Accelerometer,,Temperature sensor,MEDIUM,,,MEDIUM,ANSWERED,Matched from corpus-option,1,MODULE 13_Questions.pdf,"{""raw"": ""Which of the following can act as a damping method in a mechanical"", ""question"": ""Which of the following can act as a damping method in a mechanical"", ""options"": [""Temperature sensor"", ""Brake or oil through a small orifice (like in shock absorbers)"", ""Accelerometer""], ""correct"": ""Temperature sensor"", ""answer_text"": null, ""category"": null, ""source_file"": ""MODULE 13_Questions.pdf"", ""source_module"": ""M13"", ""fmt"": ""csv"", ""module"": ""M13"", ""syllabusRef"": ""M13.1.1"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
