module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson,isEssay
M11A,M11A.81.2,,1. What is the primary role of the horizontal stabiliser?,Generate thrust,Provide longitudinal pitch stability,Control roll movements,,Provide longitudinal pitch stability,MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""1. What is the primary role of the horizontal stabiliser?"", ""question"": ""1. What is the primary role of the horizontal stabiliser?"", ""options"": [""Generate thrust"", ""Provide longitudinal pitch stability"", ""Control roll movements""], ""correct"": ""Provide longitudinal pitch stability"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.81.2"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.3.000,,Why is the horizontal stabiliser typically set at a slightly negative angle of,To increase engine efficiency,To create a small downward stabilizing force,To reduce drag during cruise,,To create a small downward stabilizing force,MEDIUM,,,,REVIEWED,KB partial (score=4),1,Module 11 Rans.pdf,"{""raw"": ""Why is the horizontal stabiliser typically set at a slightly negative angle of"", ""question"": ""Why is the horizontal stabiliser typically set at a slightly negative angle of"", ""options"": [""To increase engine efficiency"", ""To create a small downward stabilizing force"", ""To reduce drag during cruise""], ""correct"": ""To create a small downward stabilizing force"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.3.000"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,,,3. What is a disadvantage of a T-tail arrangement?,Reduced rudder effectiveness,Risk of deep stall at high angles of attack,Increased weight due to reinforced structure,,Risk of deep stall at high angles of attack,MEDIUM,,,,REVIEWED,Rans exact context,1,Module 11 Rans.pdf,"{""raw"": ""3. What is a disadvantage of a T-tail arrangement?"", ""question"": ""3. What is a disadvantage of a T-tail arrangement?"", ""options"": [""Reduced rudder effectiveness"", ""Risk of deep stall at high angles of attack"", ""Increased weight due to reinforced structure""], ""correct"": ""Risk of deep stall at high angles of attack"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": """", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.3.000,,4. How does a T-tail improve rudder effectiveness?,By reducing turbulence from the wings,"Through the ""end plate effect""",By increasing engine airflow over the tail,,By increasing engine airflow over the tail,MEDIUM,,,,REVIEWED,Rans exact context,1,Module 11 Rans.pdf,"{""raw"": ""4. How does a T-tail improve rudder effectiveness?"", ""question"": ""4. How does a T-tail improve rudder effectiveness?"", ""options"": [""By reducing turbulence from the wings"", ""Through the \""end plate effect\"""", ""By increasing engine airflow over the tail""], ""correct"": ""By increasing engine airflow over the tail"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.3.000"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.03,,5. What safety feature do T-tailed aircraft have to prevent deep stalls?,Automatic rudder deflection,Stick-push system,Enhanced wing flaps,,Stick-push system,MEDIUM,,,,REVIEWED,KB direct (score=6),1,Module 11 Rans.pdf,"{""raw"": ""5. What safety feature do T-tailed aircraft have to prevent deep stalls?"", ""question"": ""5. What safety feature do T-tailed aircraft have to prevent deep stalls?"", ""options"": [""Automatic rudder deflection"", ""Stick-push system"", ""Enhanced wing flaps""], ""correct"": ""Stick-push system"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.03"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.03,,1. Why might a single-engine propeller aircraft have an offset vertical stabiliser?,To counteract yaw from propeller slipstream,To improve roll stability,To reduce fuel consumption,,To counteract yaw from propeller slipstream,MEDIUM,,,,REVIEWED,KB direct (score=5),1,Module 11 Rans.pdf,"{""raw"": ""1. Why might a single-engine propeller aircraft have an offset vertical stabiliser?"", ""question"": ""1. Why might a single-engine propeller aircraft have an offset vertical stabiliser?"", ""options"": [""To counteract yaw from propeller slipstream"", ""To improve roll stability"", ""To reduce fuel consumption""], ""correct"": ""To counteract yaw from propeller slipstream"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.03"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.13.1(b),,2. What aerodynamic issue does the offset fin address?,Wingtip vortices,Asymmetric propeller airflow,Elevator flutter,,Asymmetric propeller airflow,MEDIUM,,,,REVIEWED,KB direct (score=5),1,Module 11 Rans.pdf,"{""raw"": ""2. What aerodynamic issue does the offset fin address?"", ""question"": ""2. What aerodynamic issue does the offset fin address?"", ""options"": [""Wingtip vortices"", ""Asymmetric propeller airflow"", ""Elevator flutter""], ""correct"": ""Asymmetric propeller airflow"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.13.1(b)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.03,,3. Which part of the aircraft is most affected by propeller-induced yaw?,Horizontal stabiliser,Vertical stabiliser,Wing flaps,,Vertical stabiliser,MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""3. Which part of the aircraft is most affected by propeller-induced yaw?"", ""question"": ""3. Which part of the aircraft is most affected by propeller-induced yaw?"", ""options"": [""Horizontal stabiliser"", ""Vertical stabiliser"", ""Wing flaps""], ""correct"": ""Vertical stabiliser"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.03"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.9(a),,4. What is the primary function of the vertical stabiliser?,Control pitch,Provide directional (yaw) stability,Assist in roll control,,Provide directional (yaw) stability,MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""4. What is the primary function of the vertical stabiliser?"", ""question"": ""4. What is the primary function of the vertical stabiliser?"", ""options"": [""Control pitch"", ""Provide directional (yaw) stability"", ""Assist in roll control""], ""correct"": ""Provide directional (yaw) stability"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.9(a)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.3.000,,5. How does the offset fin modify airflow?,By redirecting slipstream evenly,By countering asymmetric propeller wash,By increasing lift on one wing,,By countering asymmetric propeller wash,EASY,,,,REVIEWED,Rans exact context,1,Module 11 Rans.pdf,"{""raw"": ""5. How does the offset fin modify airflow?"", ""question"": ""5. How does the offset fin modify airflow?"", ""options"": [""By redirecting slipstream evenly"", ""By countering asymmetric propeller wash"", ""By increasing lift on one wing""], ""correct"": ""By countering asymmetric propeller wash"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.3.000"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.9(a),,1. Which of the following is a primary flight control surface?,Flaps,Elevators,Trim tabs,,Elevators,MEDIUM,,,,REVIEWED,Fixed: elevators are primary controls among given options,1,Module 11 Rans.pdf,"{""raw"": ""1. Which of the following is a primary flight control surface?"", ""question"": ""1. Which of the following is a primary flight control surface?"", ""options"": [""Flaps"", ""Elevators"", ""Trim tabs""], ""correct"": ""Elevators"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.9(a)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.9(a),,2. What is the purpose of secondary control surfaces like flaps and slats?,Replace ailerons during flight,Modify lift/drag characteristics,Control yaw during cruise,,Replace ailerons during flight,MEDIUM,,,,REVIEWED,Rans exact context,1,Module 11 Rans.pdf,"{""raw"": ""2. What is the purpose of secondary control surfaces like flaps and slats?"", ""question"": ""2. What is the purpose of secondary control surfaces like flaps and slats?"", ""options"": [""Replace ailerons during flight"", ""Modify lift/drag characteristics"", ""Control yaw during cruise""], ""correct"": ""Replace ailerons during flight"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.9(a)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.04,,3. Which control surfaces are used together for roll control on large aircraft?,Ailerons and spoilers,Rudder and elevators,Flaps and slats,,Ailerons and spoilers,MEDIUM,,,,REVIEWED,KB direct (score=7),1,Module 11 Rans.pdf,"{""raw"": ""3. Which control surfaces are used together for roll control on large aircraft?"", ""question"": ""3. Which control surfaces are used together for roll control on large aircraft?"", ""options"": [""Ailerons and spoilers"", ""Rudder and elevators"", ""Flaps and slats""], ""correct"": ""Ailerons and spoilers"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.04"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.81.2,,4. Why might outboard ailerons be disabled at high speeds?,To prevent aileron reversal due to wing twist,To reduce engine noise,To improve fuel efficiency,,To prevent aileron reversal due to wing twist,MEDIUM,,,,REVIEWED,KB direct (score=5),1,Module 11 Rans.pdf,"{""raw"": ""4. Why might outboard ailerons be disabled at high speeds?"", ""question"": ""4. Why might outboard ailerons be disabled at high speeds?"", ""options"": [""To prevent aileron reversal due to wing twist"", ""To reduce engine noise"", ""To improve fuel efficiency""], ""correct"": ""To prevent aileron reversal due to wing twist"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.81.2"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.2(b),,5. What is the risk of using outboard ailerons at high speeds?,Reduced rudder authority,Structural damage from wing flexing,Excessive pitch oscillations,,Structural damage from wing flexing,MEDIUM,,,,REVIEWED,Rans exact context,1,Module 11 Rans.pdf,"{""raw"": ""5. What is the risk of using outboard ailerons at high speeds?"", ""question"": ""5. What is the risk of using outboard ailerons at high speeds?"", ""options"": [""Reduced rudder authority"", ""Structural damage from wing flexing"", ""Excessive pitch oscillations""], ""correct"": ""Structural damage from wing flexing"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.2(b)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.03,,1. What is the function of ruddervators on a V-tail aircraft?,Combine rudder and elevator actions,Replace flaps during landing,Enhance roll stability,,Combine rudder and elevator actions,MEDIUM,,,,REVIEWED,KB direct (score=3),1,Module 11 Rans.pdf,"{""raw"": ""1. What is the function of ruddervators on a V-tail aircraft?"", ""question"": ""1. What is the function of ruddervators on a V-tail aircraft?"", ""options"": [""Combine rudder and elevator actions"", ""Replace flaps during landing"", ""Enhance roll stability""], ""correct"": ""Combine rudder and elevator actions"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.03"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.2.5,,2. How do ruddervators differ from conventional elevators?,They cannot control pitch,They perform dual roles (yaw + pitch),They are only used during takeoff,,They perform dual roles (yaw + pitch),MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""2. How do ruddervators differ from conventional elevators?"", ""question"": ""2. How do ruddervators differ from conventional elevators?"", ""options"": [""They cannot control pitch"", ""They perform dual roles (yaw + pitch)"", ""They are only used during takeoff""], ""correct"": ""They perform dual roles (yaw + pitch)"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.2.5"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.13.1(b),,3. What is a key advantage of high-lift devices like flaps?,Increase cruise speed,Reduce landing speed by increasing lift,Improve engine thrust,,Reduce landing speed by increasing lift,MEDIUM,,,,REVIEWED,Rans exact context,1,Module 11 Rans.pdf,"{""raw"": ""3. What is a key advantage of high-lift devices like flaps?"", ""question"": ""3. What is a key advantage of high-lift devices like flaps?"", ""options"": [""Increase cruise speed"", ""Reduce landing speed by increasing lift"", ""Improve engine thrust""], ""correct"": ""Reduce landing speed by increasing lift"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.13.1(b)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.13.1(b),,4. Which devices are classified as trailing-edge high-lift devices?,Slats,Krueger flaps,Fowler flaps,,Krueger flaps,MEDIUM,,,,REVIEWED,Rans exact context,1,Module 11 Rans.pdf,"{""raw"": ""4. Which devices are classified as trailing-edge high-lift devices?"", ""question"": ""4. Which devices are classified as trailing-edge high-lift devices?"", ""options"": [""Slats"", ""Krueger flaps"", ""Fowler flaps""], ""correct"": ""Krueger flaps"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.13.1(b)"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.06,,5. Why do modern jets need high-lift devices for landing?,To compensate for short runways,To reduce stalling speed below cruise efficiency,To increase engine power,,To reduce stalling speed below cruise efficiency,MEDIUM,,,,REVIEWED,Rans exact context,1,Module 11 Rans.pdf,"{""raw"": ""5. Why do modern jets need high-lift devices for landing?"", ""question"": ""5. Why do modern jets need high-lift devices for landing?"", ""options"": [""To compensate for short runways"", ""To reduce stalling speed below cruise efficiency"", ""To increase engine power""], ""correct"": ""To reduce stalling speed below cruise efficiency"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.06"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.3.000,,2. What happens to the spoiler on the side of the down-going aileron?,It deploys fully to increase drag,It remains flush with the wing surface,It deflects downward to augment lift,,It deploys fully to increase drag,MEDIUM,,,,REVIEWED,KB direct (score=4),1,Module 11 Rans.pdf,"{""raw"": ""2. What happens to the spoiler on the side of the down-going aileron?"", ""question"": ""2. What happens to the spoiler on the side of the down-going aileron?"", ""options"": [""It deploys fully to increase drag"", ""It remains flush with the wing surface"", ""It deflects downward to augment lift""], ""correct"": ""It deploys fully to increase drag"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.3.000"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.9(a),,3. What is the primary function of the elevators?,Control yaw around the vertical axis,Control pitch around the lateral axis,Assist in roll during turns,,Control pitch around the lateral axis,EASY,,,,REVIEWED,Fixed: elevators control pitch,1,Module 11 Rans.pdf,"{""raw"": ""3. What is the primary function of the elevators?"", ""question"": ""3. What is the primary function of the elevators?"", ""options"": [""Control yaw around the vertical axis"", ""Control pitch around the lateral axis"", ""Assist in roll during turns""], ""correct"": ""Control pitch around the lateral axis"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.9(a)"", ""level"": """", ""difficulty"": ""EASY"", ""subTopic"": """", ""isEssay"": false}",False
M11A,M11A.11.04,,"4. When the control column is pushed forward, how do the elevators respond?","Move upward, raising the nose","Move downward, lowering the nose",Remain neutral to maintain level flight,,"Move downward, lowering the nose",MEDIUM,,,,REVIEWED,KB partial (score=5),1,Module 11 Rans.pdf,"{""raw"": ""4. When the control column is pushed forward, how do the elevators respond?"", ""question"": ""4. When the control column is pushed forward, how do the elevators respond?"", ""options"": [""Move upward, raising the nose"", ""Move downward, lowering the nose"", ""Remain neutral to maintain level flight""], ""correct"": ""Move downward, lowering the nose"", ""answer_text"": null, ""category"": null, ""source_file"": ""Module 11 Rans.pdf"", ""source_module"": ""M11A"", ""fmt"": ""csv"", ""module"": ""M11A"", ""syllabusRef"": ""M11A.11.04"", ""level"": """", ""difficulty"": ""MEDIUM"", ""subTopic"": """", ""isEssay"": false}",False
