module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M5,M5.5.6(b),,20. Which of the following materials is commonly used for the core of optical fibers?,Silica glass,Plastic,Copper,,A,MEDIUM,,,,ANSWERED,Verified correction (score=0.75),1,10 Fibre Optics.docx,"{""raw"": ""20. Which of the following materials is commonly used for the core of optical fibers?\n     a) Silica glass\n     b) Plastic\n     c) Copper"", ""question"": ""20. Which of the following materials is commonly used for the core of optical fibers?"", ""options"": [""Silica glass"", ""Plastic"", ""Copper""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,21. What is the typical wavelength range used for fiber optic communication?,300700 nm,8501550 nm,18002200 nm,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""21. What is the typical wavelength range used for fiber optic communication?\n     a) 300700 nm\n     b) 8501550 nm\n     c) 18002200 nm"", ""question"": ""21. What is the typical wavelength range used for fiber optic communication?"", ""options"": [""300700 nm"", ""8501550 nm"", ""18002200 nm""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,22. What is the main advantage of single mode fibers over multimode fibers?,Higher bandwidth over long distances,Lower cost,Easier to install,,A,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""22. What is the main advantage of single mode fibers over multimode fibers?\n     a) Higher bandwidth over long distances\n     b) Lower cost\n     c) Easier to install"", ""question"": ""22. What is the main advantage of single mode fibers over multimode fibers?"", ""options"": [""Higher bandwidth over long distances"", ""Lower cost"", ""Easier to install""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.05.02,,23. What is the primary disadvantage of using fiber optics in communication systems?,High cost of installation,Fragility and difficulty in handling,Susceptibility to electromagnetic interference,,A,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""23. What is the primary disadvantage of using fiber optics in communication systems?\n     a) High cost of installation\n     b) Fragility and difficulty in handling\n     c) Susceptibility to electromagnetic interference"", ""question"": ""23. What is the primary disadvantage of using fiber optics in communication systems?"", ""options"": [""High cost of installation"", ""Fragility and difficulty in handling"", ""Susceptibility to electromagnetic interference""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.05.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,24. What is the refractive index profile of a graded index fiber?,Constant throughout,Varies gradually from the core center to the cladding,Stepwise change at the core-cladding boundary,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""24. What is the refractive index profile of a graded index fiber?\n     a) Constant throughout\n     b) Varies gradually from the core center to the cladding\n     c) Stepwise change at the core-cladding boundary"", ""question"": ""24. What is the refractive index profile of a graded index fiber?"", ""options"": [""Constant throughout"", ""Varies gradually from the core center to the cladding"", ""Stepwise change at the core-cladding boundary""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.05.04,,25. Which parameter of an optical fiber determines the maximum data rate it can support?,Bandwidth,Core diameter,Numerical aperture,,A,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""25. Which parameter of an optical fiber determines the maximum data rate it can support?\n     a) Bandwidth\n     b) Core diameter\n     c) Numerical aperture"", ""question"": ""25. Which parameter of an optical fiber determines the maximum data rate it can support?"", ""options"": [""Bandwidth"", ""Core diameter"", ""Numerical aperture""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.05.04"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,,,26. What type of dispersion affects multimode fibers more than single mode fibers?,Chromatic dispersion,Modal dispersion,Polarization mode dispersion,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""26. What type of dispersion affects multimode fibers more than single mode fibers?\n     a) Chromatic dispersion\n     b) Modal dispersion\n     c) Polarization mode dispersion"", ""question"": ""26. What type of dispersion affects multimode fibers more than single mode fibers?"", ""options"": [""Chromatic dispersion"", ""Modal dispersion"", ""Polarization mode dispersion""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""difficulty"": ""MEDIUM""}"
M5,,,"27. Which type of optical fiber is best suited for highspeed, long-distance communication?",Multimode step index fiber,Multimode graded index fiber,Single mode fiber,,C,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""27. Which type of optical fiber is best suited for highspeed, long-distance communication?\n     a) Multimode step index fiber\n     b) Multimode graded index fiber\n     c) Single mode fiber"", ""question"": ""27. Which type of optical fiber is best suited for highspeed, long-distance communication?"", ""options"": [""Multimode step index fiber"", ""Multimode graded index fiber"", ""Single mode fiber""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""difficulty"": ""MEDIUM""}"
M5,M5.05.08,,29. Which light source is typically used for short-distance fiber optic communication?,LED,Laser diode,Incandescent bulb,,A,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""29. Which light source is typically used for short-distance fiber optic communication?\n     a) LED\n     b) Laser diode\n     c) Incandescent bulb"", ""question"": ""29. Which light source is typically used for short-distance fiber optic communication?"", ""options"": [""LED"", ""Laser diode"", ""Incandescent bulb""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.05.08"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,,,30. What is an optical splice?,A permanent joint between two optical fibers,A temporary connection for testing,A device that amplifies optical signals,,A,EASY,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""30. What is an optical splice?\n     a) A permanent joint between two optical fibers\n     b) A temporary connection for testing\n     c) A device that amplifies optical signals"", ""question"": ""30. What is an optical splice?"", ""options"": [""A permanent joint between two optical fibers"", ""A temporary connection for testing"", ""A device that amplifies optical signals""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""difficulty"": ""EASY""}"
M5,M5.5.6(b),,31. What is the main cause of signal loss at fiber optic connections?,Absorption,Coupling loss due to misalignment,Scattering,,B,MEDIUM,,,,ANSWERED,Verified correction (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""31. What is the main cause of signal loss at fiber optic connections?\n     a) Absorption\n     b) Coupling loss due to misalignment\n     c) Scattering"", ""question"": ""31. What is the main cause of signal loss at fiber optic connections?"", ""options"": [""Absorption"", ""Coupling loss due to misalignment"", ""Scattering""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,,,32. What type of fiber optic connector is commonly used in telecommunications?,Mechanical splice,SC connector,Optical coupler,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""32. What type of fiber optic connector is commonly used in telecommunications?\n     a) Mechanical splice\n     b) SC connector\n     c) Optical coupler"", ""question"": ""32. What type of fiber optic connector is commonly used in telecommunications?"", ""options"": [""Mechanical splice"", ""SC connector"", ""Optical coupler""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""difficulty"": ""MEDIUM""}"
M5,M5.05.08,,33. What is the purpose of a light emitting diode (LED) in a fiber optic system?,To detect optical signals,To generate optical signals,To amplify optical signals,,B,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""33. What is the purpose of a light emitting diode (LED) in a fiber optic system?\n     a) To detect optical signals\n     b) To generate optical signals\n     c) To amplify optical signals"", ""question"": ""33. What is the purpose of a light emitting diode (LED) in a fiber optic system?"", ""options"": [""To detect optical signals"", ""To generate optical signals"", ""To amplify optical signals""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.05.08"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,34. What is the advantage of using fusion splicing over mechanical splicing?,Easier to perform,Lower initial cost,Lower splice loss,,C,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""34. What is the advantage of using fusion splicing over mechanical splicing?\n     a) Easier to perform\n     b) Lower initial cost\n     c) Lower splice loss"", ""question"": ""34. What is the advantage of using fusion splicing over mechanical splicing?"", ""options"": [""Easier to perform"", ""Lower initial cost"", ""Lower splice loss""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,35. Which component in a fiber optic system is responsible for detecting the optical signal?,Transmitter,Optical detector,Coupler,,B,MEDIUM,,,,ANSWERED,Verified correction (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""35. Which component in a fiber optic system is responsible for detecting the optical signal?\n     a) Transmitter\n     b) Optical detector\n     c) Coupler"", ""question"": ""35. Which component in a fiber optic system is responsible for detecting the optical signal?"", ""options"": [""Transmitter"", ""Optical detector"", ""Coupler""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,M5.5.6(b),,36. What is the role of an optical transmitter in a fiber optic communication system?,To convert electrical signals into optical signals,To amplify optical signals,To split optical signals,,A,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""36. What is the role of an optical transmitter in a fiber optic communication system?\n     a) To convert electrical signals into optical signals\n     b) To amplify optical signals\n     c) To split optical signals"", ""question"": ""36. What is the role of an optical transmitter in a fiber optic communication system?"", ""options"": [""To convert electrical signals into optical signals"", ""To amplify optical signals"", ""To split optical signals""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""syllabusRef"": ""M5.5.6(b)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M5,,,37. What type of fiber optic cable is preferred for indoor applications?,Tight buffered cable,Loose tube cable,Armoured cable,,A,MEDIUM,,,,ANSWERED,Domain-verified (score=1.00),1,10 Fibre Optics.docx,"{""raw"": ""37. What type of fiber optic cable is preferred for indoor applications?\n     a) Tight buffered cable\n     b) Loose tube cable\n     c) Armoured cable"", ""question"": ""37. What type of fiber optic cable is preferred for indoor applications?"", ""options"": [""Tight buffered cable"", ""Loose tube cable"", ""Armoured cable""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""10 Fibre Optics.docx"", ""source_module"": ""M5"", ""fmt"": ""docx"", ""module"": ""M5"", ""difficulty"": ""MEDIUM""}"
