module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M7,,,Between what Hz range does normal conversation typically occur?,200 to 800 Hz,"500 to 3,000 Hz","1,000 to 4,000 Hz",,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Between what Hz range does normal conversation typically occur?\nA) 200 to 800 Hz\nB) 500 to 3,000 Hz* \nC) 1,000 to 4,000 Hz"", ""question"": ""Between what Hz range does normal conversation typically occur?"", ""options"": [""200 to 800 Hz"", ""500 to 3,000 Hz"", ""1,000 to 4,000 Hz""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""difficulty"": ""MEDIUM""}"
M7,,,What can daily exposure to noise levels higher than 80 dB cause?,Improved hearing,Hearing impairment,Temporary hearing loss,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What can daily exposure to noise levels higher than 80 dB cause?\nA) Improved hearing\nB) Hearing impairment*\nC) Temporary hearing loss\nParagraph 6: Fire Triangle"", ""question"": ""What can daily exposure to noise levels higher than 80 dB cause?"", ""options"": [""Improved hearing"", ""Hearing impairment"", ""Temporary hearing loss""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""difficulty"": ""MEDIUM""}"
M7,M7.07.01,,What three components make up the 'Fire Triangle'?,"Oxygen, water, heat","Fuel, oxygen, heat","Fuel, air, pressure",,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What three components make up the 'Fire Triangle'?\nA) Oxygen, water, heat\nB) Fuel, oxygen, heat* \nC) Fuel, air, pressure"", ""question"": ""What three components make up the 'Fire Triangle'?"", ""options"": [""Oxygen, water, heat"", ""Fuel, oxygen, heat"", ""Fuel, air, pressure""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.07.01,,What type of material can be considered fuel in the fire triangle?,Non-combustible materials,"Any solid, liquid, or gas",Only liquids,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What type of material can be considered fuel in the fire triangle?\nA) Non-combustible materials\nB) Any solid, liquid, or gas* \nC) Only liquids"", ""question"": ""What type of material can be considered fuel in the fire triangle?"", ""options"": [""Non-combustible materials"", ""Any solid, liquid, or gas"", ""Only liquids""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.7.00,,What does heat refer to in the context of fire?,The absence of fuel,Any temperature above room temperature,Sufficient intensity to ignite fuel,,C,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What does heat refer to in the context of fire?\nA) The absence of fuel\nB) Any temperature above room temperature\nC) Sufficient intensity to ignite fuel*\nParagraph 7: Classes of Fire"", ""question"": ""What does heat refer to in the context of fire?"", ""options"": [""The absence of fuel"", ""Any temperature above room temperature"", ""Sufficient intensity to ignite fuel""], ""correct"": ""C"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.7.00"", ""level"": null, ""difficulty"": ""EASY""}"
M7,M7.07.01,,Which class of fire involves solid combustible materials like wood?,Class B,Class C,Class A,,C,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Which class of fire involves solid combustible materials like wood?\nA) Class B\nB) Class C\nC) Class A*"", ""question"": ""Which class of fire involves solid combustible materials like wood?"", ""options"": [""Class B"", ""Class C"", ""Class A""], ""correct"": ""C"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.07.01,,What class of fire includes flammable gases like propane?,Class A,Class B,Class C,,C,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What class of fire includes flammable gases like propane?\nA) Class A\nB) Class B\nC) Class C*"", ""question"": ""What class of fire includes flammable gases like propane?"", ""options"": [""Class A"", ""Class B"", ""Class C""], ""correct"": ""C"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.07.01,,What class of fire involves electrical equipment?,Class A,Class D,Class E,,C,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What class of fire involves electrical equipment?\nA) Class A\nB) Class D\nC) Class E*\nParagraph 8: Extinguishing Methods"", ""question"": ""What class of fire involves electrical equipment?"", ""options"": [""Class A"", ""Class D"", ""Class E""], ""correct"": ""C"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""EASY""}"
M7,M7.0.3,,Which method of extinguishing fires does NOT involve water?,Cooling the fuel,Excluding the oxygen,Pouring water,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Which method of extinguishing fires does NOT involve water?\nA) Cooling the fuel \nB) Excluding the oxygen* \nC) Pouring water"", ""question"": ""Which method of extinguishing fires does NOT involve water?"", ""options"": [""Cooling the fuel"", ""Excluding the oxygen"", ""Pouring water""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,,,Which extinguishing agent is suitable for Class B fires?,Water,Aqueous Film-Forming Foam (AFFF),Sand,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Which extinguishing agent is suitable for Class B fires?\nA) Water\nB) Aqueous Film-Forming Foam (AFFF)* \nC) Sand"", ""question"": ""Which extinguishing agent is suitable for Class B fires?"", ""options"": [""Water"", ""Aqueous Film-Forming Foam (AFFF)"", ""Sand""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""difficulty"": ""MEDIUM""}"
M7,M7.07.01,,What is considered when selecting extinguishants?,Only price,The type of class of fire,Aesthetic preferences,,B,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What is considered when selecting extinguishants?\nA) Only price\nB) The type of class of fire* \nC) Aesthetic preferences\nParagraph 9: Water Extinguishers"", ""question"": ""What is considered when selecting extinguishants?"", ""options"": [""Only price"", ""The type of class of fire"", ""Aesthetic preferences""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""EASY""}"
M7,M7.07.01,,Water extinguishers should be used on which class of fire?,Class B,Class C,Class A,,C,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Water extinguishers should be used on which class of fire?\nA) Class B\nB) Class C\nC) Class A*"", ""question"": ""Water extinguishers should be used on which class of fire?"", ""options"": [""Class B"", ""Class C"", ""Class A""], ""correct"": ""C"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.07.01,,What can happen if water is used on Class B or C fires?,It will extinguish the fire,It could spread the fire,It will cool the surrounding area,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What can happen if water is used on Class B or C fires?\nA) It will extinguish the fire\nB) It could spread the fire* \nC) It will cool the surrounding area"", ""question"": ""What can happen if water is used on Class B or C fires?"", ""options"": [""It will extinguish the fire"", ""It could spread the fire"", ""It will cool the surrounding area""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.07.01,,Why should water not be used on Class D fires?,It has no effect,It will make the fire burn more fiercely,It is too heavy,,B,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Why should water not be used on Class D fires?\nA) It has no effect\nB) It will make the fire burn more fiercely* \nC) It is too heavy\nParagraph 10: Aqueous Film-Forming Foam (AFFF)"", ""question"": ""Why should water not be used on Class D fires?"", ""options"": [""It has no effect"", ""It will make the fire burn more fiercely"", ""It is too heavy""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""EASY""}"
M7,,,What is AFFF best suited for?,Class A fires,Class B fires,Class E fires,,B,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What is AFFF best suited for?\nA) Class A fires\nB) Class B fires* \nC) Class E fires"", ""question"": ""What is AFFF best suited for?"", ""options"": [""Class A fires"", ""Class B fires"", ""Class E fires""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""difficulty"": ""EASY""}"
M7,,,Why is AFFF considered unsafe for electrical fires?,It causes short circuits,It can conduct electricity,It evaporates quickly,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Why is AFFF considered unsafe for electrical fires?\nA) It causes short circuits\nB) It can conduct electricity* \nC) It evaporates quickly"", ""question"": ""Why is AFFF considered unsafe for electrical fires?"", ""options"": [""It causes short circuits"", ""It can conduct electricity"", ""It evaporates quickly""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""difficulty"": ""MEDIUM""}"
M7,,,Which characteristic about AFFF is true?,It is less effective on Class A fires,It is more suitable for liquid fires,It contains no water at all,,A,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Which characteristic about AFFF is true?\nA) It is less effective on Class A fires* \nB) It is more suitable for liquid fires\nC) It contains no water at all\nParagraph 11: Carbon Dioxide (CO2) Extinguishers"", ""question"": ""Which characteristic about AFFF is true?"", ""options"": [""It is less effective on Class A fires"", ""It is more suitable for liquid fires"", ""It contains no water at all""], ""correct"": ""A"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""difficulty"": ""EASY""}"
M7,M7.0.3,,What is the primary characteristic of CO2 extinguishers?,They are not very effective,They leave a residue,They are non-corrosive and non-conductive,,C,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What is the primary characteristic of CO2 extinguishers?\nA) They are not very effective\nB) They leave a residue\nC) They are non-corrosive and non-conductive*"", ""question"": ""What is the primary characteristic of CO2 extinguishers?"", ""options"": [""They are not very effective"", ""They leave a residue"", ""They are non-corrosive and non-conductive""], ""correct"": ""C"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.07.08,,What should users be cautious about when handling the horn of a CO2 extinguisher?,It can become very hot,It can emit harmful gases,It can cause frostbite to bare skin,,C,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What should users be cautious about when handling the horn of a CO2 extinguisher?\nA) It can become very hot\nB) It can emit harmful gases\nC) It can cause frostbite to bare skin*\nParagraph 12: Dry Powder Extinguishers"", ""question"": ""What should users be cautious about when handling the horn of a CO2 extinguisher?"", ""options"": [""It can become very hot"", ""It can emit harmful gases"", ""It can cause frostbite to bare skin""], ""correct"": ""C"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.08"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.07.01,,What type of fires is Dry Powder effective against?,Class A only,Most classes of fire,"None, it's outdated",,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What type of fires is Dry Powder effective against?\nA) Class A only\nB) Most classes of fire* \nC) None, it's outdated"", ""question"": ""What type of fires is Dry Powder effective against?"", ""options"": [""Class A only"", ""Most classes of fire"", ""None, it's outdated""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.07.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,,,What is a limitation of Dry Powder extinguishers on electrical fires?,They work too quickly,They can conduct high voltages,They leave no residue,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What is a limitation of Dry Powder extinguishers on electrical fires?\nA) They work too quickly\nB) They can conduct high voltages* \nC) They leave no residue"", ""question"": ""What is a limitation of Dry Powder extinguishers on electrical fires?"", ""options"": [""They work too quickly"", ""They can conduct high voltages"", ""They leave no residue""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""difficulty"": ""MEDIUM""}"
M7,M7.0.3,,Why can the residue from Dry Powder be problematic?,It cleans the area,It might affect electrical contacts,It evaporates quickly,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Why can the residue from Dry Powder be problematic?\nA) It cleans the area \nB) It might affect electrical contacts* \nC) It evaporates quickly\nParagraph 13: First Aid Points"", ""question"": ""Why can the residue from Dry Powder be problematic?"", ""options"": [""It cleans the area"", ""It might affect electrical contacts"", ""It evaporates quickly""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.0.3,,What should every worker know regarding First Aid?,The location of the vending machines,The location of First Aid Points,The break times,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What should every worker know regarding First Aid?\nA) The location of the vending machines\nB) The location of First Aid Points* \nC) The break times"", ""question"": ""What should every worker know regarding First Aid?"", ""options"": [""The location of the vending machines"", ""The location of First Aid Points"", ""The break times""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.0.3,,What steps should be taken in the event of an injury?,Call the emergency contact only,Complete an entry in the Accident Book,Wait for someone else to report it,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What steps should be taken in the event of an injury?\nA) Call the emergency contact only\nB) Complete an entry in the Accident Book* \nC) Wait for someone else to report it"", ""question"": ""What steps should be taken in the event of an injury?"", ""options"": [""Call the emergency contact only"", ""Complete an entry in the Accident Book"", ""Wait for someone else to report it""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,,,Whose responsibility is it to know First Aid procedures?,Only supervisors,Everyone at work,Only new employees,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""Whose responsibility is it to know First Aid procedures?\nA) Only supervisors\nB) Everyone at work* \nC) Only new employees\nParagraph 14: Fuel Tank Safety"", ""question"": ""Whose responsibility is it to know First Aid procedures?"", ""options"": [""Only supervisors"", ""Everyone at work"", ""Only new employees""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""difficulty"": ""MEDIUM""}"
M7,M7.0.3,,What is the function of the Flammability Reduction System (FRS)?,Increase fuel efficiency,Reduce ignition risk by reducing fuel vapor concentration,Enhance overall performance,,B,MEDIUM,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What is the function of the Flammability Reduction System (FRS)?\nA) Increase fuel efficiency\nB) Reduce ignition risk by reducing fuel vapor concentration* \nC) Enhance overall performance"", ""question"": ""What is the function of the Flammability Reduction System (FRS)?"", ""options"": [""Increase fuel efficiency"", ""Reduce ignition risk by reducing fuel vapor concentration"", ""Enhance overall performance""], ""correct"": ""B"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M7,M7.0.3,,What is the purpose of the CDCCL in maintenance?,Minimize ignition sources in fuel tanks,Increase fuel pressure,Improve flight duration,,A,EASY,,,,APPROVED,,1,mcqs m7.docx,"{""raw"": ""What is the purpose of the CDCCL in maintenance?\nA) Minimize ignition sources in fuel tanks* \nB) Increase fuel pressure\nC) Improve flight duration"", ""question"": ""What is the purpose of the CDCCL in maintenance?"", ""options"": [""Minimize ignition sources in fuel tanks"", ""Increase fuel pressure"", ""Improve flight duration""], ""correct"": ""A"", ""answer_text"": null, ""category"": null, ""source_file"": ""mcqs m7.docx"", ""source_module"": ""M7"", ""fmt"": ""docx"", ""module"": ""M7"", ""syllabusRef"": ""M7.0.3"", ""level"": null, ""difficulty"": ""EASY""}"
